timestamp,tool,phase,x_minus,x_plus,y_minus,y_plus,center_x,center_y,z_result,z_offset,nsew_x_depth,nsew_y_depth
2026-07-15T13:41:23,T0,S,249.2475,251.9850,0.4025009,3.780002,250.6162,2.091251,,0.25,0.25
2026-07-15T13:41:23,T0,C,,,,,250.6162,2.091251,5.420000,
2026-07-15T13:41:23,T1,S,249.4130,251.8405,1.062497,2.804999,250.6268,1.933748,,0.50,0.25
2026-07-15T13:41:23,T1,C,,,,,250.6268,1.933748,5.871500,0.4514999
2026-07-15T13:41:23,T2,S,248.7500,250.5150,0.6624985,2.840001,249.6325,1.751250,,0.50,0.50
2026-07-15T13:41:23,T2,CENTER,,,,,249.6325,1.751250,6.194000,0.7740002,5
2026-07-16T22:42:01,T0,TX-,249.137,1,1,0.25,,,,,,
2026-07-16T22:42:01,T0,TX-,249.150,1,2,0.25,,,,,,
2026-07-16T22:42:01,T0,TX-,249.150,1,3,0.25,,,,,,
2026-07-16T22:42:01,T0,TX-,249.150,1,4,0.25,,,,,,
2026-07-16T22:42:01,T0,TX-,249.150,1,5,0.25,,,,,,
2026-07-16T22:42:01,T0,TX+,251.900,0,1,0.25,,,,,,
2026-07-16T22:42:01,T0,TX+,251.913,0,2,0.25,,,,,,
2026-07-16T22:42:01,T0,TX+,251.913,0,3,0.25,,,,,,
2026-07-16T22:42:01,T0,TX+,251.913,0,4,0.25,,,,,,
2026-07-16T22:42:01,T0,TX+,251.900,0,5,0.25,,,,,,
2026-07-16T22:42:01,T0,TY-,0.362,1,1,0.25,,,,,,
2026-07-16T22:42:01,T0,TY-,0.350,1,2,0.25,,,,,,
2026-07-16T22:42:01,T0,TY-,0.362,1,3,0.25,,,,,,
2026-07-16T22:42:01,T0,TY-,0.362,1,4,0.25,,,,,,
2026-07-16T22:42:01,T0,TY-,0.362,1,5,0.25,,,,,,
2026-07-16T22:42:01,T0,TY+,3.575,0,1,0.25,,,,,,
2026-07-16T22:42:01,T0,TY+,3.562,0,2,0.25,,,,,,
2026-07-16T22:42:01,T0,TY+,3.562,0,3,0.25,,,,,,
2026-07-16T22:42:01,T0,TY+,3.562,0,4,0.25,,,,,,
2026-07-16T22:42:01,T0,TY+,3.562,0,5,0.25,,,,,,
2026-07-16T22:42:01,T0,S,249.1475,251.9075,0.3599960,3.565001,250.5275,1.962499,,0.25,0.25
2026-07-16T22:42:01,T0,TC,5.445,,1,,,,,,,
2026-07-16T22:42:01,T0,TC,5.430,,2,,,,,,,
2026-07-16T22:42:01,T0,TC,5.427,,3,,,,,,,
2026-07-16T22:42:01,T0,TC,5.430,,4,,,,,,,
2026-07-16T22:42:01,T0,TC,5.430,,5,,,,,,,
